"year","age","qx","lx","dx","Lx","Tx","ex","sex"
1900,0,"0.14596",1e+05,"14,596","90,026","5,151,511","51.52","M"
1900,1,"0.03282",85404,"2,803","84,003","5,061,484","59.26","M"
1900,2,"0.01634",82601,"1,350","81,926","4,977,482","60.26","M"
1900,3,"0.01052",81251,"855","80,824","4,895,556","60.25","M"
1900,4,"0.00875",80397,"703","80,045","4,814,732","59.89","M"
1900,5,"0.00628",79693,"501","79,443","4,734,687","59.41","M"
1900,6,"0.00462",79193,"366","79,010","4,655,244","58.78","M"
1900,7,"0.00326",78827,"257","78,698","4,576,234","58.05","M"
1900,8,"0.00256",78569,"201","78,469","4,497,536","57.24","M"
1900,9,"0.00203",78368,"159","78,288","4,419,068","56.39","M"
1900,10,"0.00211",78209,"165","78,127","4,340,779","55.50","M"
1900,11,"0.00217",78044,"169","77,960","4,262,653","54.62","M"
1900,12,"0.00212",77875,"165","77,793","4,184,693","53.74","M"
1900,13,"0.00239",77710,"186","77,617","4,106,900","52.85","M"
1900,14,"0.00254",77525,"197","77,426","4,029,283","51.97","M"
1900,15,"0.00267",77328,"206","77,225","3,951,856","51.11","M"
1900,16,"0.00320",77122,"247","76,998","3,874,632","50.24","M"
1900,17,"0.00378",76875,"291","76,730","3,797,633","49.40","M"
1900,18,"0.00913",76584,"700","76,235","3,720,904","48.59","M"
1900,19,"0.00531",75885,"403","75,683","3,644,669","48.03","M"
1900,20,"0.00507",75482,"383","75,291","3,568,985","47.28","M"
1900,21,"0.00437",75099,"328","74,935","3,493,695","46.52","M"
1900,22,"0.00449",74771,"336","74,603","3,418,760","45.72","M"
1900,23,"0.00472",74435,"351","74,259","3,344,157","44.93","M"
1900,24,"0.00456",74084,"338","73,915","3,269,898","44.14","M"
1900,25,"0.00462",73746,"341","73,576","3,195,983","43.34","M"
1900,26,"0.00467",73405,"343","73,234","3,122,407","42.54","M"
1900,27,"0.00457",73063,"334","72,896","3,049,173","41.73","M"
1900,28,"0.00494",72729,"359","72,550","2,976,277","40.92","M"
1900,29,"0.00504",72370,"365","72,188","2,903,728","40.12","M"
1900,30,"0.00491",72005,"354","71,829","2,831,540","39.32","M"
1900,31,"0.00496",71652,"356","71,474","2,759,711","38.52","M"
1900,32,"0.00472",71296,"336","71,128","2,688,237","37.71","M"
1900,33,"0.00486",70960,"345","70,787","2,617,109","36.88","M"
1900,34,"0.00521",70615,"368","70,431","2,546,322","36.06","M"
1900,35,"0.00553",70247,"388","70,053","2,475,891","35.25","M"
1900,36,"0.00605",69858,"423","69,647","2,405,838","34.44","M"
1900,37,"0.00601",69436,"417","69,227","2,336,191","33.65","M"
1900,38,"0.00555",69019,"383","68,827","2,266,964","32.85","M"
1900,39,"0.00563",68635,"386","68,442","2,198,137","32.03","M"
1900,40,"0.00595",68249,"406","68,046","2,129,695","31.20","M"
1900,41,"0.00627",67843,"426","67,630","2,061,648","30.39","M"
1900,42,"0.00654",67418,"441","67,197","1,994,018","29.58","M"
1900,43,"0.00701",66977,"470","66,742","1,926,821","28.77","M"
1900,44,"0.00721",66507,"480","66,267","1,860,079","27.97","M"
1900,45,"0.00775",66028,"512","65,772","1,793,812","27.17","M"
1900,46,"0.00795",65516,"521","65,256","1,728,040","26.38","M"
1900,47,"0.00869",64995,"565","64,713","1,662,785","25.58","M"
1900,48,"0.00947",64430,"610","64,125","1,598,072","24.80","M"
1900,49,"0.01020",63820,"651","63,495","1,533,947","24.04","M"
1900,50,"0.01094",63169,"691","62,824","1,470,452","23.28","M"
1900,51,"0.01211",62478,"757","62,100","1,407,628","22.53","M"
1900,52,"0.01313",61722,"810","61,317","1,345,528","21.80","M"
1900,53,"0.01410",60912,"859","60,482","1,284,211","21.08","M"
1900,54,"0.01446",60053,"868","59,619","1,223,729","20.38","M"
1900,55,"0.01556",59184,"921","58,724","1,164,111","19.67","M"
1900,56,"0.01698",58264,"989","57,769","1,105,387","18.97","M"
1900,57,"0.01859",57274,"1,065","56,742","1,047,618","18.29","M"
1900,58,"0.01984",56210,"1,115","55,652","990,876","17.63","M"
1900,59,"0.02158",55094,"1,189","54,500","935,224","16.98","M"
1900,60,"0.02392",53905,"1,290","53,260","880,724","16.34","M"
1900,61,"0.02562",52616,"1,348","51,941","827,464","15.73","M"
1900,62,"0.02813",51267,"1,442","50,546","775,522","15.13","M"
1900,63,"0.03112",49825,"1,551","49,050","724,976","14.55","M"
1900,64,"0.03302",48275,"1,594","47,478","675,926","14.00","M"
1900,65,"0.03554",46681,"1,659","45,851","628,448","13.46","M"
1900,66,"0.03827",45022,"1,723","44,160","582,597","12.94","M"
1900,67,"0.03986",43299,"1,726","42,436","538,437","12.44","M"
1900,68,"0.04376",41573,"1,819","40,663","496,001","11.93","M"
1900,69,"0.04579",39753,"1,820","38,843","455,338","11.45","M"
1900,70,"0.04887",37933,"1,854","37,006","416,495","10.98","M"
1900,71,"0.05267",36079,"1,900","35,129","379,488","10.52","M"
1900,72,"0.05730",34179,"1,958","33,200","344,359","10.08","M"
1900,73,"0.06049",32221,"1,949","31,246","311,159","9.66","M"
1900,74,"0.06249",30272,"1,892","29,326","279,913","9.25","M"
1900,75,"0.06575",28380,"1,866","27,447","250,587","8.83","M"
1900,76,"0.07065",26514,"1,873","25,578","223,139","8.42","M"
1900,77,"0.07488",24641,"1,845","23,719","197,562","8.02","M"
1900,78,"0.07999",22796,"1,823","21,884","173,843","7.63","M"
1900,79,"0.08371",20973,"1,756","20,095","151,959","7.25","M"
1900,80,"0.09204",19217,"1,769","18,333","131,864","6.86","M"
1900,81,"0.09753",17448,"1,702","16,597","113,531","6.51","M"
1900,82,"0.10240",15747,"1,612","14,940","96,934","6.16","M"
1900,83,"0.11353",14134,"1,605","13,332","81,993","5.80","M"
1900,84,"0.12095",12530,"1,515","11,772","68,661","5.48","M"
1900,85,"0.13187",11014,"1,452","10,288","56,890","5.17","M"
1900,86,"0.14038",9562,"1,342","8,891","46,602","4.87","M"
1900,87,"0.15028",8219,"1,235","7,602","37,711","4.59","M"
1900,88,"0.16689",6984,"1,166","6,401","30,109","4.31","M"
1900,89,"0.17336",5819,"1,009","5,314","23,708","4.07","M"
1900,90,"0.18509",4810,"890","4,365","18,394","3.82","M"
1900,91,"0.19691",3920,"772","3,534","14,029","3.58","M"
1900,92,"0.21241",3148,"669","2,813","10,495","3.33","M"
1900,93,"0.23458",2479,"582","2,188","7,682","3.10","M"
1900,94,"0.25351",1898,"481","1,657","5,493","2.89","M"
1900,95,"0.27339",1417,"387","1,223","3,836","2.71","M"
1900,96,"0.29246",1029,"301","879","2,613","2.54","M"
1900,97,"0.31316",728,"228","614","1,735","2.38","M"
1900,98,"0.33011",500,"165","418","1,120","2.24","M"
1900,99,"0.35368",335,"119","276","703","2.10","M"
1900,100,"0.37561",217,"81","176","427","1.97","M"
1900,101,"0.39247",135,"53","109","251","1.86","M"
1900,102,"0.41986",82,"34","65","142","1.73","M"
1900,103,"0.44411",48,"21","37","77","1.62","M"
1900,104,"0.46967",26,"12","20","40","1.52","M"
1900,105,"0.49678",14,"7","11","20","1.42","M"
1900,106,"0.52404",7,"4","5","9","1.33","M"
1900,107,"0.55161",3,"2","2","4","1.25","M"
1900,108,"0.57962",2,"1","1","2","1.17","M"
1900,109,"0.60819",1,"0","0","1","1.10","M"
1900,110,"0.63746",0,"0","0","0","1.03","M"
1900,111,"0.66752",0,"0","0","0","0.97","M"
1900,112,"0.69852",0,"0","0","0","0.91","M"
1900,113,"0.73053",0,"0","0","0","0.85","M"
1900,114,"0.76365",0,"0","0","0","0.79","M"
1900,115,"0.79799",0,"0","0","0","0.74","M"
1900,116,"0.83363",0,"0","0","0","0.69","M"
1900,117,"0.87066",0,"0","0","0","0.64","M"
1900,118,"0.90919",0,"0","0","0","0.60","M"
1900,119,"0.94927",0,"0","0","0","0.55","M"
1900,0,"0.11969",1e+05,"11,969","92,047","5,828,405","58.28","F"
1900,1,"0.03061",88031,"2,694","86,683","5,736,358","65.16","F"
1900,2,"0.01489",85336,"1,270","84,701","5,649,675","66.20","F"
1900,3,"0.01011",84066,"850","83,641","5,564,974","66.20","F"
1900,4,"0.00823",83216,"684","82,874","5,481,333","65.87","F"
1900,5,"0.00585",82532,"483","82,290","5,398,459","65.41","F"
1900,6,"0.00428",82049,"351","81,873","5,316,168","64.79","F"
1900,7,"0.00306",81697,"250","81,572","5,234,295","64.07","F"
1900,8,"0.00232",81447,"189","81,353","5,152,723","63.26","F"
1900,9,"0.00186",81258,"151","81,183","5,071,371","62.41","F"
1900,10,"0.00203",81107,"164","81,025","4,990,188","61.53","F"
1900,11,"0.00198",80943,"160","80,863","4,909,163","60.65","F"
1900,12,"0.00195",80783,"157","80,704","4,828,300","59.77","F"
1900,13,"0.00227",80626,"183","80,534","4,747,595","58.88","F"
1900,14,"0.00233",80442,"187","80,349","4,667,061","58.02","F"
1900,15,"0.00256",80255,"205","80,152","4,586,712","57.15","F"
1900,16,"0.00304",80050,"243","79,928","4,506,560","56.30","F"
1900,17,"0.00364",79806,"290","79,661","4,426,632","55.47","F"
1900,18,"0.00785",79516,"624","79,204","4,346,971","54.67","F"
1900,19,"0.00518",78892,"408","78,688","4,267,767","54.10","F"
1900,20,"0.00535",78484,"420","78,274","4,189,079","53.38","F"
1900,21,"0.00458",78064,"357","77,885","4,110,805","52.66","F"
1900,22,"0.00468",77707,"363","77,525","4,032,920","51.90","F"
1900,23,"0.00479",77343,"370","77,158","3,955,395","51.14","F"
1900,24,"0.00471",76973,"363","76,792","3,878,237","50.38","F"
1900,25,"0.00477",76610,"365","76,428","3,801,445","49.62","F"
1900,26,"0.00487",76245,"371","76,060","3,725,017","48.86","F"
1900,27,"0.00458",75874,"347","75,701","3,648,957","48.09","F"
1900,28,"0.00472",75527,"356","75,349","3,573,257","47.31","F"
1900,29,"0.00476",75171,"358","74,992","3,497,908","46.53","F"
1900,30,"0.00445",74813,"333","74,647","3,422,916","45.75","F"
1900,31,"0.00447",74481,"333","74,314","3,348,269","44.95","F"
1900,32,"0.00432",74147,"321","73,987","3,273,955","44.15","F"
1900,33,"0.00426",73827,"315","73,670","3,199,967","43.34","F"
