Year,Birth Number,General Fertility Rate,Crude Birth Rate
2015,3978497,62.5,12.4
2014,3988076,62.9,12.5
2013,3932181,62.5,12.4
2012,3952841,63.0,12.6
2011,3953590,63.2,12.7
2010,3999386,64.1,13.0
2009,4130665,66.2,13.5
2008,4247694,68.1,14.0
2007,4316233,69.3,14.3
2006,4265555,68.6,14.3
2005,4138349,66.7,14.0
2004,4112052,66.4,14.0
2003,4089950,66.1,14.1
2002,4021726,65.0,14.0
2001,4025933,65.1,14.1
2000,4058814,65.9,14.4
1999,3959417,64.4,14.2
1998,3941553,64.3,14.3
1997,3880894,63.6,14.2
1996,3891494,64.1,14.4
1995,3899589,64.6,14.6
1994,3952767,65.9,15.0
1993,4000240,67.0,15.4
1992,4065014,68.4,15.8
1991,4110907,69.3,16.2
1990,4158212,70.9,16.7
1989,4040958,69.2,16.4
1988,3909510,67.3,16.0
1987,3809394,65.8,15.7
1986,3756547,65.4,15.6
1985,3760561,66.3,15.8
1984,3669141,65.5,15.6
1983,3638933,65.7,15.6
1982,3680537,67.3,15.9
1981,3629238,67.3,15.8
1980,3612258,68.4,15.9
1979,3494398,67.2,15.6
1978,3333279,65.5,15.0
1977,3326632,66.8,15.1
1976,3167788,65.0,14.6
1975,3144198,66.0,14.6
1974,3159958,67.8,14.8
1973,3136965,68.8,14.8
1972,3258411,73.1,15.6
1971,3555970,81.6,17.2
1970,3731386,87.9,18.4
1969,3600206,86.1,17.9
1968,3501564,85.2,17.6
1967,3520959,87.2,17.8
1966,3606274,90.8,18.4
1965,3760358,96.3,19.4
1964,4027490,104.7,21.1
1963,4098020,108.3,21.7
1962,4167362,112.0,22.4
1961,4268326,117.1,23.3
1960,4257850,118.0,23.7
1959,4244796,118.8,24.0
1958,4246000,120.2,24.6
1957,4300000,122.9,25.3
1956,4210000,121.2,25.2
1955,4097000,118.3,25.0
1954,4071000,118.1,25.3
1953,3959000,115.2,25.1
1952,3909000,113.9,25.1
1951,3820000,111.5,24.9
1950,3632000,106.2,24.1
1949,3649000,107.1,24.5
1948,3637000,107.3,24.9
1947,3817000,113.3,26.6
1946,3411000,101.9,24.1
1945,2858000,85.9,20.4
1944,2939000,88.8,21.2
1943,3104000,94.3,22.7
1942,2989000,91.5,22.2
1941,2703000,83.4,20.3
1940,2559000,79.9,19.4
1939,2466000,77.6,18.8
1938,2496000,79.1,19.2
1937,2413000,77.1,18.7
1936,2355000,75.8,18.4
1935,2377000,77.2,18.7
1934,2396000,78.5,19.0
1933,2307000,76.3,18.4
1932,2440000,81.7,19.5
1931,2506000,84.6,20.2
1930,2618000,89.2,21.3
1929,2582000,89.3,21.2
1928,2674000,93.8,22.2
1927,2802000,99.8,23.5
1926,2839000,102.6,24.2
1925,2909000,106.6,25.1
1924,2979000,110.9,26.1
1923,2910000,110.5,26.0
1922,2882000,111.2,26.2
1921,3055000,119.8,28.1
1920,2950000,117.9,27.7
1919,2740000,111.2,26.1
1918,2948000,119.8,28.2
1917,2944000,121.0,28.5
1916,2964000,123.4,29.1
1915,2965000,125.0,29.5
1914,2986000,126.6,29.9
1913,2869000,124.7,29.5
1912,2840000,125.8,29.8
1911,2809000,126.3,29.9
1910,2777000,126.8,30.1
1909,2718000,126.8,30.0
